# Developed by  NerWann module of the Wannier90 code.
# Total Transport distribution function (in SI units of m^2*C^3/S^3) vs energy in eV
# Content of the columns:
# Energy xxz xyz yyz xzz yzz zzz yxz zxz zyz
#   (if spin decomposition is required, 18 further columns are provided, with the 9
#    components of the TDFtot for the spin up, followed by those for the spin down)
  -4.585851084     -0.3301554975E+22  0.2795792195E+28  0.2359087903E+23 -0.2230873749E+26 -0.1729024566E+25 -0.5507922649E+22 -0.2795823743E+28  0.2235320006E+26  0.1711111594E+25
  -4.584851084      0.4214564804E+23  0.2911891892E+28 -0.3049694274E+23 -0.2320832742E+26 -0.1789389506E+25 -0.7031498127E+22 -0.2911961503E+28  0.2326139822E+26  0.1789967190E+25
  -4.583851084      0.3736109347E+23  0.3032906786E+28 -0.4671973446E+23 -0.2415088239E+26 -0.1852764994E+25  0.2991056494E+22 -0.3032865578E+28  0.2408056045E+26  0.1898198985E+25
  -4.582851084     -0.2298919401E+23  0.3158633662E+28  0.2434030963E+23 -0.2513244941E+26 -0.1910863036E+25  0.1703412101E+22 -0.3158577404E+28  0.2510970391E+26  0.1961363003E+25
  -4.581851084     -0.7473247879E+22  0.3289436381E+28  0.1435289538E+22 -0.2615021781E+26 -0.1980275967E+25  0.1649872161E+22 -0.3289520344E+28  0.2612882865E+26  0.1951823627E+25
  -4.580851084     -0.1616134418E+23  0.3425547168E+28  0.1664839144E+23 -0.2722049396E+26 -0.2039786299E+25  0.3606611758E+20 -0.3425511264E+28  0.2724810478E+26  0.2015877820E+25
  -4.579851084     -0.1473840338E+24  0.3567166501E+28  0.1252455810E+24 -0.2832329282E+26 -0.2112909164E+25  0.2388060920E+22 -0.3567076636E+28  0.2826270676E+26  0.2097694101E+25
  -4.578851084     -0.4295397467E+23  0.3714436693E+28  0.5136851967E+23 -0.2945942337E+26 -0.2193393362E+25 -0.4280518768E+22 -0.3714409217E+28  0.2952495583E+26  0.2207982788E+25
  -4.577851084      0.8168219525E+23  0.3867589282E+28 -0.6289060227E+23 -0.3064873069E+26 -0.2275293234E+25 -0.8642862943E+22 -0.3867702053E+28  0.3076798385E+26  0.2205440428E+25
  -4.576851084      0.8089818006E+23  0.4026888318E+28 -0.7072896734E+23 -0.3187700547E+26 -0.2345050012E+25 -0.3131314727E+22 -0.4026955210E+28  0.3189055536E+26  0.2403138198E+25
  -4.575851084      0.8671077215E+23  0.4192710540E+28 -0.7515651403E+23 -0.3316554170E+26 -0.2433699359E+25  0.5720052482E+22 -0.4192620480E+28  0.3306341789E+26  0.2493127067E+25
  -4.574851084     -0.7111229871E+22  0.4365225544E+28  0.1470620435E+22 -0.3451242982E+26 -0.2512767127E+25  0.7874448082E+22 -0.4365099100E+28  0.3445482902E+26  0.2531419750E+25
  -4.573851084     -0.7364677981E+23  0.4544578381E+28  0.5889531077E+23 -0.3591027735E+26 -0.2593143535E+25  0.9955924892E+21 -0.4544646427E+28  0.3589926288E+26  0.2557249365E+25
  -4.572851084     -0.4373071801E+23  0.4731008675E+28  0.2984191210E+23 -0.3735369455E+26 -0.2679937770E+25 -0.2712388168E+22 -0.4731066587E+28  0.3739026205E+26  0.2656583531E+25
  -4.571851084     -0.3581323033E+23  0.4924983896E+28  0.2154828802E+23 -0.3885541280E+26 -0.2781628017E+25  0.2062332502E+22 -0.4924990625E+28  0.3882728307E+26  0.2777476550E+25
  -4.570851084     -0.1444606756E+23  0.5126626467E+28  0.4912833520E+23 -0.4041468424E+26 -0.2881129226E+25 -0.3377833832E+22 -0.5126719492E+28  0.4047721506E+26  0.2834216631E+25
  -4.569851084      0.1188414617E+23  0.5336394108E+28  0.1245838877E+23 -0.4202731728E+26 -0.2987452052E+25 -0.6276412760E+22 -0.5336368560E+28  0.4205212510E+26  0.3021603036E+25
  -4.568851084      0.1414560946E+24  0.5554540878E+28 -0.1483998982E+24 -0.4371296472E+26 -0.3078370914E+25 -0.2189376181E+22 -0.5554461840E+28  0.4375038140E+26  0.3088980524E+25
  -4.567851084      0.4342168704E+23  0.5781417514E+28 -0.4156837299E+23 -0.4547243836E+26 -0.3183970052E+25  0.3055702414E+22 -0.5781431408E+28  0.4540329486E+26  0.3175527000E+25
  -4.566851084     -0.3134155910E+23  0.6017229488E+28  0.1513184978E+23 -0.4729407220E+26 -0.3293250836E+25  0.8037449320E+22 -0.6017195393E+28  0.4719183437E+26  0.3336800156E+25
  -4.565851084     -0.9010568588E+23  0.6262454254E+28  0.8697570580E+23 -0.4919852755E+26 -0.3400034484E+25  0.3697298875E+22 -0.6262420133E+28  0.4918491126E+26  0.3445263031E+25
  -4.564851084     -0.7617328249E+23  0.6517339066E+28  0.6602186595E+23 -0.5116189067E+26 -0.3519265968E+25 -0.3153102404E+21 -0.6517344486E+28  0.5116596620E+26  0.3490050603E+25
